line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
   254  1.025425e-08  -18.395574
   255  1.606745e-09  -20.249056
   256  1.396077e-09  -20.389600
   257  5.897886e-10  -21.251257
   258  2.802949e-09  -19.692594
   259  8.356327e-07  -13.995077
   260  2.284556e-06  -12.989339
   261  1.558333e-10  -22.582234
   262  2.341859e-05  -10.661980
   263  9.806254e-06  -11.532490
   264  7.811765e-08  -16.365050
   265  5.413843e-24  -53.573083
   266  6.469944e-14  -30.369024
   267  2.983099e-22  -49.563909
   268  4.315076e-13  -28.471491
   269  4.736799e-02   -3.049809
   270  5.825292e-08  -16.658472
   271  7.321865e-04   -7.219475
   272  5.903561e-12  -25.855465
   273  2.933783e-05  -10.436633
   274  4.512601e-13  -28.426733
   275  2.945670e-08  -17.340344
   276  1.627339e-12  -27.144075
   277  4.012584e-11  -23.939001
   278  9.923894e-22  -48.361927
   279  6.621646e-02   -2.714826
   280  2.675848e-08  -17.436414
   281  1.037365e-03   -6.871071
   282  1.085659e-25  -57.482440
   283  1.001628e-11  -25.326810
   284  1.206148e-23  -52.772026
   285  6.717762e-05   -9.608170
   286  1.988259e-17  -38.456687
   287  1.409259e-05  -11.169861
   288  2.926627e-06  -12.741660
   289  1.691243e-04   -8.684876
   290  1.940435e-01   -1.639673
   291  7.800834e-13  -27.879376
   292  2.649871e-06  -12.841000
   293  1.107711e-11  -25.226140
   294  9.361600e-06  -11.578894
   295  6.595948e-02   -2.718715
   296  4.539264e-08  -16.907916
   297  4.146097e-10  -21.603683
   298  2.709433e-10  -22.029112
   299  2.310926e-03   -6.070107
   300  5.607096e-09  -18.999233
   301  3.687571e-07  -14.813128
   302  1.891797e-21  -47.716760
   303  1.208064e-10  -22.836832
   304  8.023646e-07  -14.035703
   305  3.076128e-09  -19.599594
   306  1.631613e-06  -13.325941
   307  5.548874e-07  -14.404501
   308  1.044697e-07  -16.074369
   309  4.716302e-03   -5.356730
   310  1.767681e-09  -20.153597
   311  3.034513e-02   -3.495119
   312  8.048868e-11  -23.242905
